url,doc_id,title,customer_role,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/77251?seo=1,shopee-return-refund-policy,Chính sách trả hàng và hoàn tiền,both,returns-refund,vi,2026-03-11,public-page
https://help.shopee.vn/portal/4/article/77246,shopee-product-listing-rules,Quy định về đăng bán sản phẩm trên Shopee,seller,product-listing,vi,2024-08-14,public-page
